id,node_type,wiki_url
Androgynous,expanded,https://en.wikipedia.org/wiki/Androgynous
Anduriel Widmark,expanded,https://en.wikipedia.org/wiki/Anduriel_Widmark
Andy Lomas,expanded,https://en.wikipedia.org/wiki/Andy_Lomas
Angst,expanded,https://en.wikipedia.org/wiki/Angst
Animal testing,expanded,https://en.wikipedia.org/wiki/Animal_testing
Animism,expanded,https://en.wikipedia.org/wiki/Animism
Ann Radcliffe,expanded,https://en.wikipedia.org/wiki/Ann_Radcliffe
Anna Laetitia Barbauld,expanded,https://en.wikipedia.org/wiki/Anna_Laetitia_Barbauld
Anna Seward,expanded,https://en.wikipedia.org/wiki/Anna_Seward
Anne Anastasi,expanded,https://en.wikipedia.org/wiki/Anne_Anastasi
Anne Brontë,expanded,https://en.wikipedia.org/wiki/Anne_Bront%C3%AB
Anne-Louis Girodet de Roussy-Trioson,expanded,https://en.wikipedia.org/wiki/Anne-Louis_Girodet_de_Roussy-Trioson
Anomalistic psychology,expanded,https://en.wikipedia.org/wiki/Anomalistic_psychology
Anselm of Canterbury,expanded,https://en.wikipedia.org/wiki/Anselm_of_Canterbury
Anthony Blunt,expanded,https://en.wikipedia.org/wiki/Anthony_Blunt
Anthony Hill (artist),expanded,https://en.wikipedia.org/wiki/Anthony_Hill_%28artist%29
Anthony Kenny,expanded,https://en.wikipedia.org/wiki/Anthony_Kenny
Antiquities,expanded,https://en.wikipedia.org/wiki/Antiquities
Antireligion,expanded,https://en.wikipedia.org/wiki/Antireligion
Antoine Augustin Calmet,expanded,https://en.wikipedia.org/wiki/Antoine_Augustin_Calmet
Antoine Pevsner,expanded,https://en.wikipedia.org/wiki/Antoine_Pevsner
Antoine Wiertz,expanded,https://en.wikipedia.org/wiki/Antoine_Wiertz
Antoine-Augustin Préault,expanded,https://en.wikipedia.org/wiki/Antoine-Augustin_Pr%C3%A9ault
Anton Arensky,expanded,https://en.wikipedia.org/wiki/Anton_Arensky
Anton Bruckner,expanded,https://en.wikipedia.org/wiki/Anton_Bruckner
Anton Reicha,expanded,https://en.wikipedia.org/wiki/Anton_Reicha
Anton Rubinstein,expanded,https://en.wikipedia.org/wiki/Anton_Rubinstein
Antoni Malczewski,expanded,https://en.wikipedia.org/wiki/Antoni_Malczewski
Antoni Stolpe,expanded,https://en.wikipedia.org/wiki/Antoni_Stolpe
Antonio García Gutiérrez,expanded,https://en.wikipedia.org/wiki/Antonio_Garc%C3%ADa_Guti%C3%A9rrez
Antonio Puente,expanded,https://en.wikipedia.org/wiki/Antonio_Puente
Antony Flew,expanded,https://en.wikipedia.org/wiki/Antony_Flew
Antonín Dvořák,expanded,https://en.wikipedia.org/wiki/Anton%C3%ADn_Dvo%C5%99%C3%A1k
António Augusto Soares de Passos,expanded,https://en.wikipedia.org/wiki/Ant%C3%B3nio_Augusto_Soares_de_Passos
